ID,edad,meses,max_ant,ingreso,score,tipo_vivienda,zona,nivel,riesgo
2208,33,128,6,3230,192,2,3,2,1
2211,32,185,7,2930,217,2,1,5,1
2212,28,,7,1883.7,202,2,1,2,1
2216,56,200,0,850,194,2,1,5,1
2218,32,131,65,3200,200,2,1,2,1
2219,34,145,6,7000,196,2,5,2,1
2226,,114,0,2171.5,178,2,2,1,1
2227,27,116,0,800,169,2,1,5,1
2228,26,182,6,3150,190,4,3,5,1
2230,25,154,1,2600,189,2,1,2,1
2233,49,203,0,6350,224,4,1,2,1
2234,49,159,0,3330,221,2,1,5,1
2235,28,127,0,1400,177,2,1,5,1
2236,30,137,0,6000,192,2,1,5,1
2238,45,151,18,1050,173,2,4,5,1
2240,21,118,0,,175,4,1,5,1
2244,37,330,8,2432,174,2,3,5,1
2247,36,257,0,1400,186,2,3,2,1
2248,32,163,0,3000,175,2,3,5,1
2252,25,128,0,889.98,169,2,1,5,1
2254,32,127,0,1200,175,2,1,5,1
2258,38,151,0,2000,180,2,1,5,1
2261,26,148,12,2052.84,196,2,1,2,1
2262,26,142,21,1500,178,2,3,2,1
2263,40,130,5,3486.7,216,4,2,5,1
2264,30,119,0,2833.55,211,2,1,5,1
2267,24,110,0,909.03,156,2,1,5,1
2269,35,184,0,9072,210,4,3,5,1
2270,29,147,0,1500,196,4,1,5,1
2274,23,162,8,1117.6,168,4,5,5,1
2276,31,193,23,,213,4,1,1,1
2277,38,150,7,11477,189,4,1,2,1
2282,53,277,0,1200,183,2,1,5,1
2285,29,152,16,8500,173,2,1,2,1
2290,,182,0,5000,214,4,1,2,1
2291,29,150,0,8300,192,2,3,5,1
2292,34,162,0,2580,213,2,1,5,1
2293,22,95,14,7200,181,2,1,2,1
2294,22,124,0,899.6,175,4,1,5,1
2295,29,122,0,1300,175,2,1,5,1
2298,31,128,14,1460,170,2,4,5,1
2299,27,164,0,3914,196,2,1,5,1
2300,25,133,0,966.06,188,4,4,5,1
2306,48,181,0,6800,205,2,1,2,1
2309,25,144,0,795.66,163,3,1,5,1
2310,32,222,6,2613.41,214,2,1,2,1
2315,28,130,12,608.6,194,2,1,5,1
2316,37,144,3,2500,187,2,1,5,1
2317,23,127,12,2142,176,2,1,2,1
2318,21,131,,1200,175,2,1,5,1
2319,27,126,0,840,154,2,1,5,1
2322,30,150,8,4000,193,2,1,2,1
2323,25,126,0,1071.59,169,2,1,5,1
2324,34,182,42,2248.76,219,4,4,2,1
2325,38,117,0,909.1,171,2,1,2,1
2326,30,117,0,3350,219,2,1,2,1
2327,,147,14,593.57,188,2,1,5,1
2328,71,126,12,2824.63,230,4,1,5,1
2330,33,151,18,2100,175,2,3,2,1
2331,,116,0,901.51,168,4,1,5,1
2334,31,119,0,1168,168,2,3,5,1
2335,21,145,0,851.55,156,2,1,5,1
2336,45,161,0,19558.36,240,4,1,1,1
2337,64,210,0,415,194,2,1,5,1
2339,42,125,0,1200,183,2,1,2,1
2340,41,157,20,9755,224,2,1,2,1
2341,30,136,11,,173,2,1,2,1
2343,42,134,0,1206.88,180,2,3,5,1
2344,25,131,0,800,163,2,1,2,1
2347,35,121,0,1800,182,2,2,5,1
2349,35,126,0,2347.96,194,2,5,5,1
2350,41,262,80,3500,199,4,1,2,1
2351,48,142,12,2300,214,4,1,5,1
2356,30,134,0,3500,219,4,2,2,1
2358,39,147,96,2000,182,2,1,2,1
2359,30,134,11,1600,181,2,1,2,1
2360,25,127,0,1200,169,2,1,5,1
2362,43,129,0,1239.3,201,4,4,5,1
2363,43,179,0,1700,156,2,3,5,1
2364,41,156,25,2750,216,2,1,5,1
2365,34,178,8,3800,216,2,1,2,1
2366,26,150,0,6600,188,4,1,2,1
2367,22,162,23,3400,192,2,3,5,1
2368,,149,17,2300,187,2,1,2,1
2370,43,241,0,5500,205,2,1,2,1
2373,46,181,80,9300,208,4,1,5,1
2374,22,162,24,3400,192,2,3,5,1
2375,20,121,0,663.75,156,2,1,5,1
2378,28,142,14,2100,186,2,1,5,1
2380,29,148,8,700,188,2,3,2,1
2381,23,111,7,2100,214,2,1,4,1
2382,29,107,11,3178.5,192,2,1,5,1
2383,27,126,0,2052.82,193,4,4,5,1
2384,31,218,0,3300.33,202,1,1,2,1
2385,24,166,0,,176,2,1,2,1
2387,41,141,0,3420.36,214,4,2,1,1
2389,29,159,17,1157.06,163,2,4,2,1
2391,27,122,,2000,188,2,1,2,1
2392,35,111,0,812.53,177,2,1,5,1
2394,28,137,0,2000,175,3,1,5,1
2395,31,130,2,2500,200,2,1,2,1
2401,26,166,7,1444.53,169,2,2,5,1
2402,55,153,17,2069,179,2,1,5,1
2404,27,129,0,800,169,2,1,5,1
2405,28,138,0,1400,185,2,1,2,1
2408,34,117,0,1012.85,170,2,1,5,1
2409,,145,0,1350,156,2,3,5,1
2410,33,186,10,2120,186,1,3,2,1
2411,46,140,0,1500,182,2,1,5,1
2412,29,126,7,767.18,178,2,1,2,1
2413,41,172,10,1200,200,2,1,2,1
2415,43,138,40,2000,185,2,1,5,1
2416,36,171,19,1530,177,2,3,5,1
2418,43,177,11,6000,170,2,3,2,1
2420,30,175,39,6000,180,2,1,2,1
2421,36,194,42,1600,180,2,1,5,1
